"titulo","correo","telefono","pagina","descripción"
"BIM-Chile Consultorías","contacto@bim-chile.com"," +56 2 2584 0118","www.bim-chile.com","Empresa que apuesta a la creación e implementación de nuevos estándares, con el fin de utilizar correctamente las tecnologías de la información para la construcción en el ámbito público y privado."
"Tuxpan","tuxpan@tuxpan.com"," 56322680906","www.tuxpan.com","Sistematizar conversaciones que agreguen valor a sus clientes es el objetivo de Tuxpan, firma chilena que provee productos y servicios ligados a las tecnologías de la información."
"ISC","ventas@isc.cl"," +562 2236 2306","www.isc.cl","Empresa de tecnologías de la información pionera en el ecosistema de innovación, con más de 20 años de experiencia, ofreciendo soluciones y servicios para la banca, las telecomunicaciones y organismos gubernamentales."
"Adexus","marketing@adexus.cl"," +56 2 2686 1000","www.adexus.cl","Empresa con más de 25 años de experiencia en Chile, dedicada al Outsourcing de procesos de negocios, tecnologías de la información, comunicaciones y aplicaciones, capaces de desarrollar e implementar exitosamente soluciones que agregan valor a los procesos de negocios de sus clientes."
"Latinshare","contacto@latinshare.com"," +56 2 28864539","latinshare.com","Consultora latinoamericana especializada en tecnologías de la información. Cuenta con un grupo de reconocidos y certificados profesionales, con una amplia experiencia implementando soluciones tecnológicas sobre SharePoint, Project Server, Office 365, SQL Server, Exchange, Yammer, Microsoft Azure y System Center, entre otras tecnologías Microsoft."
"Stefanini Chile S.A.","stefanini@stefanini.com"," +56 2 25988800","stefanini.com/es/","Como una de las mayores multinacionales brasileñas de tecnología y actuando hace casi tres décadas con servicios de tecnologías de la información, la empresa invierte constantemente en innovaciones tecnológicas, con las mejores asociaciones, en adquisiciones de empresas en Brasil y en el extranjero, así como también en la contratación de profesionales altamente competentes."
"Arkano","administracionchile@arkanosooft.com"," +56 2 2760 9131","arkano.cl/","Orientada a facilitar a sus clientes la mejora de sus procesos de negocio, entregando conocimiento especializado en tecnologías de la información y creando soluciones a medida para la organización."
"Ingeniería y Sistemas Computacionales S.A.","pcarrasco@insico.cl"," +562 24987777","www.insico.cl","Empresa de tecnologías de la información e integración de sistemas, especializada en otorgar soluciones informáticas integrales a empresas y organismos del Sector Público, con clientes en gran parte del territorio nacional."
"TESC Sistemas","info@tescsistemas.com"," +56 9 997111519","www.tescsistemas.com/#!/-inicio/","TESC Sistemas es una compañía integrada por profesionales con más de 15 años de experiencia en consultoría en tecnologías de la información y en particular, en implementación de soluciones sobre SAP."
"Emergya","contacto-chile@emergya.com"," +56 22 348 6403","www.emergya.com/cl","Emergya es una compañía global de servicios de Tecnologías de la Información (TI), especializada en el desarrollo de soluciones software y en la provisión de servicios TI para maximizar la satisfacción del cliente y el usuario."
"Cas – Chile","consultas@caschile.cl"," +5622 4966900","www.caschile.cl/","Empresa con 30 años en el mercado de las tecnologías de la información dedicada al diseño, desarrollo y mantenimiento de software de gestión pública y municipal."
"MySolutions","contacto@mysolutions.cl"," +562 3202 6177","mysolutions.cl/","MySolutions nace para entregar al mercado soluciones tecnológicas de calidad, a partir de la iniciativa de profesionales con amplia experiencia en diversas áreas de las Tecnologías de la Información y en industrias como telecomunicaciones, transporte, servicios financieros, turismo, banca, retail y otros."
"Tisal","rpuente@tisal.cl"," +56 2 2913 3800","www.tisal.cl/","Tecnologías de la Información en Salud S.A. (Tisal) es una empresa del área tecnológica, cuyo objetivo es entregar servicios integrales de informática en establecimientos de salud y afines, sean éstos públicos o privados."
"Decalink Limitada","contacto@decalink.cl"," +562 2716 4769","www.decalink.cl/","Decalink Limitada (DLK) es una empresa con 22 años de experiencia en las áreas de Tecnologías de la Información, Automatización de Procesos y Seguridad Industrial."
"ITWorld","contacto@itworld.cl"," +56 2 23289300","itworld.cl/","ITWorld se destaca por su larga y continua trayectoria en el mercado nacional de la informática, trabajando con representaciones y distribución de equipamiento de tecnologías de la información de las principales marcas a nivel mundial."
"PAD Soluciones","contacto@pad.cl"," +562 24327500","www.padsol.com/","Creada en el año 1995, PAD Soluciones es una empresa que provee servicios y productos ligados a las tecnologías de la información (TI), brindando una asistencia integral en el diseño, desarrollo e implementación de soluciones de alto valor."
"TI Chile","ventas@tichile.cl"," +562 25709294","www.tichile.cl/","TI Chile es una compañía de Tecnologías de la Información y la Comunicación (TIC) especializada en la prestación de servicios de consultoría, la realización de proyectos en el ámbito de las telecomunicaciones, el desarrollo de aplicaciones y sistemas de información, y la provisión de infraestructura informática."
"Nielsoft Informática Ltda.","servicio@nielsoft.com"," +562 22642668","www.nielsoft.com/","Nielsoft Informática Ltda. es una empresa chilena fundada en agosto de 1998 por profesionales del área de la informática, la publicidad y las telecomunicaciones, con el propósito de acercar las tecnologías de la información al mundo de los negocios."
"Instacrops","mbustamante@instacrops.com"," 56978775796","www.instacrops.cl","La empresa chilena Instacrops se define como un asesor agrícola virtual, que a través del uso de sensores y una potente plataforma de software, entrega recomendaciones a los agricultores, con el fin de prevenir riesgos y aumentar su producción."
"Agrosat","contacto@agrosat.cl"," +562 321 09 450","www.agrosat.cl","Empresa especializada en el desarrollo, análisis y mapeo de las principales propiedades y variables biológicas, químicas y físicas que afectan e interactúan en el crecimiento, desarrollo y producción de cultivos."
"Rowsis","enzo.aguero@rowsis.com"," +56 45 2405220","www.rowsis.com","Tecnologías que proveen plataformas de software para sectores de salud, negocios y Smart City."
"Austral 3D","francisco@austral3d.com"," +569 9969 9299","www.austral3D.com","Esta empresa da soluciones innovadoras asociadas a tecnologías de simulación 3D y realidad virtual en el área de entrenamiento y seguridad laboral."
"Indexa","ignacio.bascunan@indexa.cl"," +56 2 2345 8600","www.tecnologiacreativa.cl","Empresa de servicios tecnológicos con desarrollos a la medida en el ámbito de transacciones electrónicas vía Web, principalmente para la industria bancaria y financiera. Cuenta con 132 colaboradores desde hace 20 años y con alrededor de 60 servicios tecnológicos (plataformas web) orientados a esta industria."
"Ki Teknology","mlewit@kiteknology"," +56 2 2321 3105","www.kiteknology.com","Compañía con 21 años de trayectoria en la industria TI en Chile, y 8 años exportando servicios. Están catalogados como partner tecnológico de importantes empresas e instituciones del ámbito público y privado, cuyo compromiso apunta a construir en conjunto el éxito de sus clientes, apoyándolos en el campo tecnológico."
"Tecnova Soluciones Informáticas","cristian.ferrer@tecnovags.com"," +569 9949 2616","www.tecnovags.com","Con 18 años de experiencia, 170 ingenieros y contando con las certificaciones relevantes de la actividad, Tecnova Soluciones Informáticas se dedica al desarrollo de software a medida, utilizando metodologías ágiles o tradicionales, para realizar con éxito proyectos complejos en diversas industrias como telecomunicaciones, retail y gobierno."
"Linets","jpreyest@linets.cl"," 56979582269","linets.tech","Compañía que destaca por tener un equipo de expertos preocupados por la continuidad operativa de sus sistemas y ser capaces de implementar y administrar su Cloud privada. Su oferta incluye Cloud Services, IaaS, PaaS y Soporte y monitoreo 24×7 de servidores."
"EXE","fgelcich@exe.cl"," +569 9 8857259","www.exe.cl","EXE, empresa chilena dedicada a la producción de nuevas tecnologías, ofrece diversas soluciones como servicios de desarrollo de software, innovación en inteligencia artificial, big data, internet de las cosas (IoT) y experiencia de usuarios (UX). Todo esto, con el fin de enfrentar los desafíos de la industria, tanto nacional como internacional."
"GTMAR","contact@gtmar.com"," +56 9 81365676","www.gtmar.com","GTMAR es una empresa de tecnología con interés en múltiples áreas. Fundada en el año 2012 en Santiago, ejecuta diversos proyectos de desarrollo de software a medida (backend/frontend) y desarrollo de prototipos funcionales, además de productos de suscripción (SAAS). La empresa tiene expertise en el desarrollo de plataformas, con foco en inteligencia de datos, sistemas de información geográfica (GIS), procesamiento de Big Data (HTC, map/reduce), procesamiento digital de imágenes y levantamiento, diseño, implementación y automatización de flujos de trabajo."
"Newtenberg","sdocmac@newtenberg.com"," +562 2698 2515","www.newtenberg.com","Equipo de 20 profesionales en Chile y Colombia, especializados en la administración y conciliación de grandes colecciones de datos y contenidos, implementación de portales web y la creación de repositorios de datos unificados, específicamente enfocados en el desarrollo de grandes portales de gobierno."
"Mining Tag","contacto@miningtag.cl"," +562 2495 7780","www.miningtag.cl","Empresa chilena que desarrolla e implementa soluciones tecnológicas de monitoreo, automatización y optimización para mejorar la seguridad, operación y productividad de sus clientes del área minera."
"Nisum","mlewit@kiteknology.com"," +562 222079698","www.nisum.com","Nisum Chile es una empresa internacional con más de 1.300 empleados en 4 países, dedicados a habilitar la transformación digital de empresas líderes, la exportación de servicios de desarrollo de software y la innovación."
"Finvox","mariapaula@finvox.com"," 56228979456","www.finvox.com","Finvox es una empresa chilena establecida en el año 2012 y que se dedica al desarrollo e implementación de software especializado para la industria financiera. Su mercado consiste en entidades financieras en búsqueda de modernizar y mejorar sus servicios. Actualmente cuenta con oficina en Santiago y personal en Lima. Además, la compañía ha crecido en dos países en los últimos cuatro años con 5 importantes clientes."
"Kauel","contacto@kauel.com"," +56 9 66097938","www.kauel.com","Kauel es una compañía focalizada en desarrollos de ingeniería informática y electrónica, para la implementación de software y hardware."
